restaurant_id,restaurant_name,num_collection,num_review,num_category_restaurant,num_revisit,influential_review_score,score
r1wAEnUQD3EOI1bnBy2SzA,만감,38,634,501,115,11,1911
VDG6UlsLoLQlx4pTGgvulQ,오스테리아 어부 (음주양식당 어부),28,477,486,82,398,1911
i0YOXXtvREFXg0KtCdn9yQ,뜻한바,82,984,54,73,96,1909
NnoA8KBzB_7zZ9jIHzsmsA,오스테리아 이아드,49,832,486,68,3,1906
wVI3DkvqNtnXjgQh1wwv3A,레스토랑 덱스터,57,773,141,83,289,1903
r-h-N5QyjFItF65QxEV7BQ,이요이요스시 공덕1호점,29,964,501,57,0,1895
X7gUyIoFt24dWGbasXNvzg,투도우테이블,91,580,597,47,26,1893
_YQ3ApdZPUpnxprlCC4rkw,오드하우스,22,802,597,75,4,1888
ADZ5KU-AdyRMB5ZQLkVfmw,나오스시,23,866,501,75,29,1886
__VxLjL-dxcIDL7OshNL1g,카밀로 한남,43,909,486,53,10,1885
RwDxSegSSt_FSAcHVRClvw,스시마타네,71,834,501,38,5,1885
Rdp0ajujstYorc4aE4WYvg,스시진솔,9,899,501,83,24,1884
K4Pfd98Imj6W2ROBgZ6-vg,이국도산 EEGUK,58,697,597,57,15,1884
jT94qGemyMF8O_jcQyGOFg,스시히노와,35,427,501,131,119,1877
Ke6XfEDa-F08RqLePy7HRQ,필레터,65,639,597,56,35,1876
UFftFE3oz9Mx-8BcGnTpcw,심퍼티쿠시 용산점,45,1034,347,54,0,1876
XGH1PkSf2Yw1vbRBAGb_6Q,스시비쇼쿠,22,750,501,103,0,1876
D4HLcezzTC8fG38UcVUEZQ,스시키라쿠,29,992,501,47,0,1873
sY687hjTHVkmLV1D7mdrBA,유화,42,762,501,79,0,1868
E23tzmEMHwceE5nPeOPl5Q,바이우,35,558,501,123,17,1866
x5rpgMoc5oN8fblGALIa4A,Pimfy,80,734,486,48,0,1860
ImD77VMxsk6bS_ROyFjiYw,기러기둥지 성수 ‘The Atelier',75,956,347,32,20,1858
Zz-_oxsZBEWn_Q4x5qTBKg,스시미즈테이,18,677,501,101,82,1855
QItfMOwN7t4KBfO80x9_WQ,쇼니노,30,1193,139,72,0,1842
M3a8RrEVWwoMOLe5mJqpFw,수묵당,71,967,286,39,37,1840
4cGVO492uPJLL1YCUwQEmA,헤도네 HEDONE,48,646,597,69,0,1828
pCoPI3mhIYPJ3sz2BEQNnw,우직 경복궁점,46,965,406,41,18,1824
TVw1AMNU_EjF-rdWqNMS1Q,팩피 (FAGP),49,1165,125,47,49,1819
L5iHBrMeqPd24icydCG9gw,을지로차이,35,665,597,72,18,1815
kHCUtSn_ZD4ChRK_A2k5HQ,심퍼티쿠시 가로수길점,39,803,597,30,43,1788
e9HaSS7Zykeot89fq7sK7A,NOCT,86,662,597,15,23,1787
Yz75Wnq4hKPylMDQrFfdyA,우마담 ,51,1301,142,15,13,1786
GH-fb5s4R_O3VqK2Cu8qFw,생면 파스타 전문점 에그앤플라워_해방촌,58,1210,125,30,9,1784
Wk93jutWzb8y_5LpoAQgDg,쉐시몽,60,719,141,104,101,1781
-2t9q00-6uOQagEmpQMIAw,스시 히나타,37,770,501,65,0,1781
GkjTXHs4fbyFvfQ_Z3frkg,키즈나스시 ,128,454,501,37,0,1780
vl2QqV_GwCz0EcI_Lfd-0w,환이네이태리식당,28,710,486,82,34,1780
yFEpd4HJi2qXwfAtb9d4lA,글로드 glod,81,481,597,55,20,1778
RokOAFYa7OCp0gsxcZGmew,비노탭시에나,29,660,597,75,0,1777
j7zVin5r2BNpOdnXfSQ56Q,냐옹지마,55,512,343,124,24,1774
5bxTyLnioVfE3s3oNBl0mg,볼라레,9,712,486,99,33,1771
i3aXeArdRz2seysIrYbJcw,밴건디스테이크하우스,28,1144,67,82,6,1767
g4-yl4LRWbyqkx19ZBTZjA,송정호 일식,9,1014,307,78,9,1765
